fullname,type,description
vendor,STRING,vendor name
higher_performing_sub,STRING,"higher performing substitute name/ description, if any"
do_nothing_profits,FLOAT,Base forecast profit for current mod items (used to report financials)
do_nothing_sales,FLOAT,Base forecast sales for current mod items  (used to report financials)
do_nothing_units,FLOAT,Base forecast units for current mod items  (used to report financials)
Max_Nominal_Demand,FLOAT,linear nominal demand at maximum facing
Nominal_Demand_MinFacing,FLOAT,linear nominal demand array at minimum facing
abs_demand_transferred,FLOAT,demand times demand-transferred-to-substitutes
national_productivity_rank,INTEGER,rank of an item based on nominal_demand_per_inch at national level (considering the sum of nominal demand per inch for the item across all stores)
avg_national_productivity_rank,INTEGER,rank of an item based on nominal_demand_per_inch at national level (considering the average nominal demand per inch for the item across all stores)
in_store_unit_rank,INTEGER,rank of an item in the store based on total units
Explanation,STRING,an elaborate explanation of the reasons for the recommendation
modlr_catg_desc,STRING,mod category description
facings_rec_details,STRING,explanation for change in number of facings
